"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1510","forgot password link visibility test","chromium","2026-09-09","passed","2026-09-09","Login Page Tests","loginpage.spec.ts","",""
"","2838","headers count test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests with Fixtures","homepagefixture.spec.ts","",""
"","2679","page headers test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests","homepage.spec.ts","",""
"","2399","homepage title test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests with Fixtures","homepagefixture.spec.ts","",""
"","2688","logout link visibility test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests","homepage.spec.ts","",""
"","1729","login page title test","chromium","2026-09-09","passed","2026-09-09","Login Page Tests","loginpagefixture.spec.ts","",""
"","1273","login page title test","chromium","2026-09-09","passed","2026-09-09","Login Page Tests","loginpage.spec.ts","",""
"","2810","homepage title test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests","homepage.spec.ts","",""
"","2829","headers count test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests","homepage.spec.ts","",""
"","2456","page headers test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests with Fixtures","homepagefixture.spec.ts","",""
"","1970","forgot password link visibility test","chromium","2026-09-09","passed","2026-09-09","Login Page Tests","loginpagefixture.spec.ts","",""
"","2706","logout link visibility test","chromium","2026-09-09","passed","2026-09-09","Home Page Tests with Fixtures","homepagefixture.spec.ts","",""
